,HDFC Bank,ICICI Bank,Infosys,Reliance Industries,TCS,NIFTY 50 Index
HDFC Bank,1.0,0.5142723133177404,0.2587197994246467,0.3947498218999025,0.2389435134861583,0.733243352721221
ICICI Bank,0.5142723133177404,1.0,0.22689645437256992,0.35962427921645,0.1992595612723621,0.7088510631627467
Infosys,0.2587197994246467,0.22689645437256992,1.0,0.2486958197247966,0.6054780469825511,0.49250728772033103
Reliance Industries,0.3947498218999025,0.35962427921645,0.2486958197247966,1.0,0.2629266025323785,0.6530285426087371
TCS,0.2389435134861583,0.1992595612723621,0.6054780469825511,0.2629266025323785,1.0,0.46567533551198664
NIFTY 50 Index,0.733243352721221,0.7088510631627467,0.49250728772033103,0.6530285426087371,0.46567533551198664,1.0
